dates,amount
09/05/1990,9000
01/07/1990,5100
30/08/1990,9700
28/12/1990,-5300
13/01/1991,-2200
16/01/1991,9800
09/11/1991,-200
16/11/1991,-3800
16/02/1992,-9800
02/06/1992,6000
22/07/1992,6900
14/09/1992,7700
06/11/1992,-2600
30/12/1992,4400
09/05/1993,-8500
10/10/1993,2400
10/01/1994,-10000
26/02/1994,-6000
09/04/1994,3300
07/09/1995,4100
22/09/1995,8000
19/03/1996,500
21/03/1996,-5700
06/10/1996,3800
31/03/1997,9600
26/05/1997,5500
07/06/1997,-700
07/07/1997,-7300
27/10/1997,-6400
17/06/1998,-2900
27/01/1999,8800
09/03/1999,2200
06/09/1999,-9300
18/09/1999,-8400
19/12/1999,700
31/12/1999,-100
12/08/2000,-9100
25/08/2000,-5400
29/08/2000,-1200
19/09/2000,-6600
18/02/2001,400
25/04/2001,4800
30/04/2001,-6900
25/05/2001,-9700
31/05/2001,-9900
02/12/2001,9200
07/01/2002,-7100
23/06/2002,2300
24/06/2002,-3400
18/07/2002,-4900
03/12/2002,-3300
17/02/2003,9900
29/07/2003,-5100
05/08/2003,-8200
01/09/2003,4200
24/12/2003,6100
05/01/2004,7900
24/01/2004,7800
10/09/2004,-8700
26/10/2004,-7000
02/05/2005,-3900
05/10/2005,4900
24/02/2006,-7600
07/04/2006,9400
27/09/2006,-2700
12/06/2007,-9000
29/01/2008,-6700
15/04/2008,-4100
27/10/2008,-3500
17/12/2008,8100
02/06/2009,1300
25/01/2010,-8900
22/04/2010,9500
29/04/2010,-2000
27/11/2010,-900
15/03/2011,9100
29/03/2011,-7500
07/08/2011,-9500
17/11/2011,4700
03/08/2012,-8100
06/11/2012,1500
09/11/2012,-400
09/05/2013,8600
16/06/2013,1100
07/11/2013,8700
01/01/2014,200
26/01/2014,6500
13/03/2014,-7900
22/06/2014,1400
27/10/2014,-5000
26/01/2015,1900
11/03/2015,5200
03/11/2016,-6100
25/03/2017,5300
13/05/2017,-3100
10/01/2018,1800
06/04/2018,-5200
05/07/2018,-4500
25/09/2018,-3200
25/12/2018,5600
